Nombre,Descripción,Precio,Categoría,Imagen,id,slug
Crunchy Roll,"Philadelpihia, aguacate, pepino y camarón por dentro, ajonjolí blanco y negro por fuera, con topping de camarón crunchy spicy, coronado con laminas de atún fresco y chile serrano, bañado en salsa de anguila. (Natural)",$170.00,⭐️ Nuevos,https://drive.google.com/file/d/1YLqLyWD1CqhaAkgIlLYvCbJ5Sy9wtZjz/view?usp=share_link,1,1
Caprichito Roll,"Philadelpihia, aguacate, pepino y camarón por dentro, ajonjolí blanco y negro por fuera, con topping de cubitos de atún fresco, camarón, masago, coronado con trozos de aguacate y pulpo, bañado en salsa de anguila. (Natural)",$165.00,⭐️ Nuevos,https://drive.google.com/file/d/1HRjDsUWjrD_QDugLv7s4G6aOtbE4XjW4/view?usp=share_link,2,2
Kani Roll,"Philadelphia, aguacate, res y camarón empanizado por dentro; gratinado, con topping de kanikama, tocino y ajonjolí, bañado en salsa de anguila. (Empanizado)",$165.00,⭐️ Nuevos,https://drive.google.com/file/d/1u2prKSPlVYcWCDF2-ahq7rd4dEO7Ex3F/view?usp=drive_link,3,3
,,,,,4,4
"Tostadita de camarón ","Tostada de camarón, pepino, cebolla morada y cubitos de aguacate, montada sobre wonton y aderezo especial de la casa, acompañada con salsa marea negra y coronada con poro frito.",$90.00,🥄 Entradas,https://drive.google.com/file/d/1Lj9BaqFdvX371r9yMsbU9LtK-HSAwHy8/view?usp=share_link,5,5
"Tostadita de atún ","Tostada de atún fresco (100 gr), cubitos de aguacate, montada sobre wonton y aderezo especial de la casa, acompañada con salsa marea negra y coronada con poro frito.",$90.00,🥄 Entradas,https://drive.google.com/file/d/1Ylv_N5wwGRR8aFfXrdcE9_fOZ-p4fygB/view?usp=drivesdk,6,6
Chile relleno especial • Pieza individual,"Relleno de philadelphia, queso chihuahua, tampico e ingrediente a elegir (res, pollo, camarón o mixto). Gratinado con queso chipotle y trozos de tocino.",$90.00,🥄 Entradas,https://drive.google.com/file/d/1tx0K02uG5NifrtECFuedmPPeilgb4WZn/view?usp=drivesdk,7,7
Chile relleno • Pieza individual,"Relleno de Philadelphia, queso chihuahua, tampico e ingredientes a elegir (Res, pollo, camarón o mixtos).",$65.00,🥄 Entradas,,8,8
Chiles rellenos • Orden de 3 pzs.,"Relleno de Philadelphia, queso chihuahua, tampico e ingredientes a elegir (Res, pollo, camarón o mixtos).",$180.00,🥄 Entradas,,9,9
"Nuggets ","Pollo empanizado, acompañado de catsup. ",$75.00,🥄 Entradas,,10,10
"Dedos de queso ","Orden de 4 piezas ",$90.00,🥄 Entradas,,11,11
Bomba,"Res, pollo, camarón, tampico y philadelphia, con aguacate encima. (Empanizada)",$135.00,🥄 Entradas,https://drive.google.com/file/d/1tv3myBMZkXfzDW0nerguZAd7gh3gSRRr/view?usp=drivesdk,12,12
,,,,,13,13
Cachiporra Roll,"Philadelphia, aguacate y res por dentro; Topping de camarón empanizado spicy y trozos de tocino bañana en salsa de anguila. (Empanizado)",$155.00,🍱  Rollos Empanizados,https://drive.google.com/file/d/1tplK6OUIeKBcgFnQWSFl5JbDL0NhbUnF/view?usp=drivesdk,14,14
Tato Roll,"Philadelphia, aguacate, res y tocino por dentro; queso chihuahua con tocino y serrano por fuera. (Empanizado)",$160.00,🍱  Rollos Empanizados,https://drive.google.com/file/d/1NJkq5xHTM-HfURRkaS0vpqMqNwJX30Tq/view?usp=share_link,15,15
Cochito Roll,"Philadelphia, aguacate, chile caribe y pollo por dentro; Topping de tampico y trozos de tocino encima. (Empanizado)",$155.00,🍱  Rollos Empanizados,https://drive.google.com/file/d/1_BBWcb84apAxM2KokNwplreRRZ1GpoYJ/view?usp=share_link,16,16
Mechudo Roll,"Philadelphia, aguacate, camarón por dentro; topping de kanikama con trozos de camarón empanizado encima, bañado en salsa de anguila. (Empanizado)",$145.00,🍱  Rollos Empanizados,https://drive.google.com/file/d/1R4mDLqdRtSH4pxfY1-gYx9LhK0EF2IZa/view?usp=sharing,17,17
Imperial Roll,"Philadelphia, aguacate y surimi por dentro. Topping de tampico, aguacate y camarón, acompañado de tampico spicy con trocitos de camarón y pulpo. (Empanizado).",$150.00,🍱  Rollos Empanizados,https://drive.google.com/file/d/1CJ9M3BGpgYTyh8s1HEPbhR62R9965qe7/view?usp=drivesdk,18,18
Guamuchilito,"Philadelphia, aguacate y surimi por dentro. Philadelphia y camarón por fuera ; Topping de tampico, aguacate y ajonjolí bañado en salsa de anguila (Empanizado)",$135.00,🍱  Rollos Empanizados,https://drive.google.com/file/d/19F0jt_SQr0cI9ufDzjMpVp0JE3DtJZKN/view?usp=share_link,19,19
Mar y tierra,"Philadelphia, aguacate, res y camarón por dentro. (Empanizado)",$105.00,🍱  Rollos Empanizados,,20,20
Cielo mar y tierra,"Philadelphia, aguacate, res, pollo y camarón por dentro. (Empanizado)",$115.00,🍱  Rollos Empanizados,,21,21
3 Quesos,"Philadelphia, aguacate, res y camarón por dentro. Philadelphia, queso tipo americano y chihuahua por fuera (Empanizado)",$115.00,🍱  Rollos Empanizados,https://drive.google.com/file/d/1S0UWNsoUoR8Y2F0ER_xidZbY0uFp1uzc/view?usp=sharing,22,22
Cordón Blue,"Philadelphia, aguacate, pollo y tocino por dentro. Philadelphia y queso chihuahua por fuera . (Empanizado)",$115.00,🍱  Rollos Empanizados,https://drive.google.com/file/d/1C6gS6AoH-IOkhTq66Ps6oBgWSnZFvckf/view?usp=drivesdk,23,23
Res blue,"Philadelphia, aguacate, res y tocino por dentro. Philadelphia y queso chihuahua por fuera . (Empanizado)",$120.00,🍱  Rollos Empanizados,,24,24
Camarón Blue,"Philadelphia, aguacate, camarón y tocino por dentro. Philadelphia y queso chihuahua por fuera . (Empanizado)",$120.00,🍱  Rollos Empanizados,,25,25
,,,,,26,26
Vaquita Roll,"Philadelphia, aguacate, res y tocino por dentro; Gratinado con queso chihuahua, trozos de res y chile serrano bañado en salsa de anguila. (Empanizado)",$165.00,🍤  Rollos Horneados,https://drive.google.com/file/d/1abvSbqKiBdml5zxSDbgSP4ZTvcaqc98L/view?usp=share_link,27,27
Suavecito Roll,"Philadelphia, aguacate, res, pollo, camarón y tocino por dentro; gratinado con queso chihuahua; topping de tampico y aguacate, bañado en salsa de anguila. (Empanizado)",$170.00,🍤  Rollos Horneados,https://drive.google.com/file/d/1t_u6bQMQYEtOcdzKN7NMimQixDV3M52N/view?usp=drivesdk,28,28
Levoy Roll,"(Especialidad de la casa) Philadelphia, res y pollo por dentro; Avocado por fuera; Toppping de camarón spicy con queso chihuahua, bañado en salsa de anguila. (Empanizado)",$160.00,🍤  Rollos Horneados,https://drive.google.com/file/d/1xl7ULqKwbxW7mXP00PtAwzQtpkml4qJo/view?usp=drivesdk,29,29
Black Factor Roll,"Philadelphia, aguacate y res por dentro; Topping de camarón, tocino y queso chihuahua, bañado en salsa de anguila. (Empanizado)",$160.00,🍤  Rollos Horneados,https://drive.google.com/file/d/1RS5zY-O1u-x1P2orcLIzQktLgnmuU2J_/view?usp=drive_link,30,30
Betillo Roll,"Philadelphia, pollo y tocino por dentro; Avocado por fuera; Topping de res, pollo, chile caribe y queso Chihuahua, bañado en salsa de anguila. (Empanizado)",$160.00,🍤  Rollos Horneados,https://drive.google.com/file/d/1tVGrt1p_7Mh6x0PEgR1J_Iz2si81PPRk/view?usp=drivesdk,31,31
Chipotle Roll,"Philadelphia, aguacate y pollo por dentro; gratinado dequeso chipotle con trozos de tocino, bañado en salsa de anguila. (Empanizado)",$160.00,🍤  Rollos Horneados,https://drive.google.com/file/d/1k39rwcMN8DM0xs7KWE1FXAoz_vFRTaaW/view?usp=share_link,32,32
Tocinito Roll,"Philadelphia, aguacate, res y pollo por dentro; Philadelphia por fuera, gratinado con queso chihuahua, cubierto con trozos de tocino. (Empanizado)",$160.00,🍤  Rollos Horneados,https://drive.google.com/file/d/1u3NP7jAP5BUiU4oi_MRP_KNRwF9tDDhU/view?usp=drivesdk,33,33
California Roll,"Philadelphia, aguacate, pepino e ingredientes a elegir (res o pollo). Camarón (+5)",$110.00,🍣 Rollos Naturales,,34,34
Avocado Roll,"Philadelphia, aguacate, pepino y res por dentro; Forrado con aguacate por fuera",$125.00,🍣 Rollos Naturales,,35,35
Masago Roll,"Philadlephia, aguacate, pepino y camarón empanizado por dentro; masago y ajonjolí por fuera.",$135.00,🍣 Rollos Naturales,,36,36
Mountain Roll,"Philadelphia, aguacate, pepino y camarón empanizado por dentro; Philadelphia, aguacate y camarón por fuera; Topping de tampico, bañado en salsa de anguila.",$135.00,🍣 Rollos Naturales,,37,37
Avocado con kanikama,"Philadelphia, aguacate, pepino y camarón por dentro; Forrado con aguacate por fuera, con topping kanikama.",$140.00,🍣 Rollos Naturales,,38,38
Pulpo Spicy,"Philadelphia, aguacate, pepino y camarón por dentro; pulpo y philadelphia por fuera, con topping de tampico spicy.",$140.00,🍣 Rollos Naturales,https://drive.google.com/file/d/1ECjMmptdj4_rKhlsxVi1JAXvONDqI09N/view?usp=drive_link,39,39
Polo Roll,"Philadelphia, aguacate, pepino y camarón por dentro; Philadelphia, aguacate y pulpo por fuera, coronado con kanikama, camarón empanizado, philadelphia y ajonjolí, bañado en salsa de anguila.",$160.00,🍣 Rollos Naturales,https://drive.google.com/file/d/1yuBAw6Ek1vEfFF56aWGqUadg6E6Al6Xu/view?usp=drive_link,40,40
Atún Roll,"Philadelphia, aguacate, pepino y camarón por dentro; Atún por fuera, coronado con kanikama, masago, serrano y ajonjolí.",$160.00,🍣 Rollos Naturales,https://drive.google.com/file/d/1KgZoS3k4ZsrYt5rstc2YPahF8uZA3etx/view?usp=sharing,41,41
Salmón Hot,"Philadelphia, aguacate, pepino y camarón por dentro; Forrado con salmón y topping de camarón spicy (al horno) con ajonjolí, bañado en salsa de anguila.",$165.00,🍣 Rollos Naturales,https://drive.google.com/file/d/1vQXHA_dRk-gvUfn7GJMU1_1u4vPWI2z4/view?usp=sharing,42,42
Salmón Spicy,"Philadelphia, aguacate, pepino y camarón por dentro; Philadelphia y masago por fuera, con topping de camarón y salmón spicy.",$160.00,🍣 Rollos Naturales,https://drive.google.com/file/d/1tx7ZtQEIR-2BjCWZmWAuuHQ2T5-UDE7H/view?usp=drivesdk,43,43
Vegetariano,"Philadelphia, aguacate, pepino y zanahoria por dentro. Ajonjolí por fuera, Natural.",$105.00,🍣 Rollos Naturales,,44,44
Yakimeshi,"Platillo de arroz frito con zanahoria, cebollín, res y pollo con philadelphia, tampico, aguacate y ajonjolí.",$135.00,🍚 Arroces,,45,45
Yakimeshi Especial,"Platillo de arroz frito con zanahoria, cebollín, res y pollo, con philadelphia, tampico, aguacate, camarón empanizado y ajonjolí.",$155.00,🍚 Arroces,https://drive.google.com/file/d/1yCDQN4jvZqeSMuVV_v8OxNiiZHHW95CH/view?usp=drivesdk,46,46
Gohan,"Platillo de arroz blanco, philadelphia, tampico y aguacate caompañado de res, pollo y camarón frito.",$140.00,🍚 Arroces,https://drive.google.com/file/d/1MXuNOaWPIunOtKV3KEbW45kR1aHOuTUj/view?usp=drivesdk,47,47
"Té ",Vaso individual con 1 refill,$35.00,🥤 Bebidas,,48,48
,,,,,49,49
,,,,,50,50
Agua mineral 330 ml.,Perrier,$40.00,🥤 Bebidas,,51,51
,,,,,52,52
Agua natural 500 ml.,,$15.00,🥤 Bebidas,,53,53
Coca cola 335 ml.,Lata,$25.00,🥤 Bebidas,,54,54
Fanta naranja 335 ml,Lata,$25.00,🥤 Bebidas,,55,55
Sprite 335 ml.,Lata,$25.00,🥤 Bebidas,,56,56
Coca cola light 335 ml.,Lata,$25.00,🥤 Bebidas,,57,57
Té 1 litro,Únicamente para llevar,$35.00,🥤 Bebidas,,58,58
,,,,,59,59
Queso gratinado,Todo extra tiene un costo adicional sobre el valor indicado en el menú.,$40.00,🥢 Ingrediente extra,,60,60
"Queso gratinado chipotle ",Todo extra tiene un costo adicional sobre el valor indicado en el menú.,$45.00,🥢 Ingrediente extra,,61,61
"Porción extra de philadelphia ",Todo extra tiene un costo adicional sobre el valor indicado en el menú.,$25.00,🥢 Ingrediente extra,,62,62
"Ingrediente extra (Camarón, res, pollo ó tocino)",Todo extra tiene un costo adicional sobre el valor indicado en el menú.,$25.00,🥢 Ingrediente extra,,63,63
"Ingrediente extra (Salmón, pulpo, atún o masago)",Todo extra tiene un costo adicional sobre el valor indicado en el menú.,$35.00,🥢 Ingrediente extra,,64,64
Porción de tampico,Todo extra tiene un costo adicional sobre el valor indicado en el menú.,$30.00,🥢 Ingrediente extra,,65,65
"Porción de tampico spicy ",Todo extra tiene un costo adicional sobre el valor indicado en el menú.,$35.00,🥢 Ingrediente extra,,66,66
Porción de kanikama,Todo extra tiene un costo adicional sobre el valor indicado en el menú.,$35.00,🥢 Ingrediente extra,,67,67
"Soya, mayonesa, aderezo, anguila o sriracha extra para llevar",Todo extra tiene un costo adicional sobre el valor indicado en el menú.,$5.00,🥢 Ingrediente extra,,68,68
Contenedor con todo para llevar,Todo extra tiene un costo adicional sobre el valor indicado en el menú.,$15.00,🥢 Ingrediente extra,,69,69
"Contenedor vacío para llevar ",Chico o grande,$5.00,🥢 Ingrediente extra,,70,70
"Soya aguachile ",Todo extra tiene un costo adicional sobre el valor indicado en el menú.,$15.00,🥢 Ingrediente extra,,71,71
Gratinado Levoy,Todo extra tiene un costo adicional sobre el valor indicado en el menú.,$55.00,🥢 Ingrediente extra,,72,72
"Extra aguacate ",,$15.00,🥢 Ingrediente extra,,73,73
,,,,,74,74
Flan,,$75.00,🍰 Postres,https://drive.google.com/file/d/1A20Plf07CXntqtqu4Coiw0s6hlI05W55/view?usp=share_link,75,75