Nombre,Descripci칩n,Categor칤a,Precio,Imagen,id,slug
Pink Velvet,"Fresas, yogurt griego, leche de coco, d치til, HEMP y
vainilla",Smoothies 游볷,$92.00,https://drive.google.com/file/d/1IQGiNG6IyWhUEI9T-J68BO5VyDkPOgHV/view?usp=sharing,1,1
Caramel Mazap치n,"Pl치tano, mazap치n casero, crema de cacahueta, leche de almendr치s, vainilla y caramelo de d치til",Smoothies 游볷,$85.00,https://drive.google.com/file/d/1-Ui6jBErM9BcDR_O6s9MZSjbGo826P1R/view?usp=sharing,2,2
Crunchy Monkey,"Pl치tano, leche de coco, cacao, crema de cacahueta, cacao nibs y proteina vegana",Smoothies 游볷,$85.00,https://drive.google.com/file/d/17_1wN4qaQmp1kt0AABuAdn5JoNocHXl1/view?usp=sharing,3,3
Acai Boost,"Acai org치nico, berries, pl치tano, leche de almendras, nuez de castilla, polen natural (Opcional)",Smoothies 游볷,$95.00,https://drive.google.com/file/d/1jzpqyQTIba__mMNGXcdIz7SlwFXZM2dh/view?usp=sharing,4,4
Tropical Vibes,"Naranja, pi침a, mango, pl치tano, coconut flakes (coco deshidratado) y agua de coco",Smoothies 游볷,$80.00,https://drive.google.com/file/d/1BGVjqytEB5MSJSDNMpWPbI2JHsdRC4JR/view?usp=sharing,5,5
California Love,"Pl치tano, leche de almendras, vainilla, canela, maca y d치til",Smoothies 游볷,$80.00,https://drive.google.com/file/d/1ec530Xv0NZOMa8csGUDkejD2G8Lk4UCl/view?usp=sharing,6,6
Green Hulk,"Apio, jengibrem espinaca, manzana verde, pi침a agua de coco y ch칤a (Match + $15.00 MXN)",Smoothies 游볷,$85.00,https://drive.google.com/file/d/1wLqE8-iSCP9-ojkPoqDh-U1Mj7M7r_8v/view?usp=sharing,7,7
Aloha,"Fresa, pi침a, pl치tano, coco y agua de coco",Smoothies 游볷,$85.00,https://drive.google.com/file/d/1Qb4Gw0h_H-k2SRLbs4HX3UhQAavddn-j/view?usp=sharing,8,8
Holly Matcha,"Pl치tano, espinaca, matcha, leche de almendras y Stevia",Smoothies 游볷,$85.00,https://drive.google.com/file/d/1LpE_XaSY9nvs87YoweKooN_DqWo98o4y/view?usp=sharing,9,9
Golden Milk,"Pl치tano, leche de almendras, jengibre, c칰rcuma, crema de almendras y prote칤na vegana",Smoothies 游볷,$85.00,https://drive.google.com/file/d/13d98DmnEKFbi42OCn4BROxo2EBSqG46i/view?usp=sharing,10,10
Pink flamingo,"Pi침a, platano, pitaya, leche de coco, mango y miel de agave",Smoothies 游볷,$90.00,,11,11
cookies & cream,"Cacao nibs, platano, vainilla. leche de almendras",Smoothies 游볷,$85.00,,12,12
sascha reese췂s,"Cacao en polvo, vainilla, prote칤na Sascha fitness, leche de almendras, mazapan , cacao nibs y stevia",Smoothies 游볷,$100.00,,13,13
withe chocolate,Smoothie de chocolate blanco agr칠gale crema de avellana por $ 15 pesos,Smoothies 游볷,$80.00,,14,14
vainilla latte,Rico Smoothie latte de vainilla,Smoothies 游볷,$80.00,,15,15
tapioca taro,Smoothie a base de taro,Smoothies 游볷,$80.00,,16,16
Toddler,"Fresa, pl치tano, cacao, leche de coco, cacao nibs",Smoothies 游볷,$68.00,https://drive.google.com/file/d/1NU50ldZQH5pVCH26OwXHADEgD5Y-TomB/view?usp=sharing,17,17
Crazy Mango,"Mango, pi침a, lim칩n, sal del himalaya, agua de coco, chamoy de jamaica y tamarindo sin az칰car",Smoothies 游볷,$85.00,https://drive.google.com/file/d/1Khuc3tZPoYcKWrjO2DvE5is6WjIS62_p/view?usp=sharing,18,18
Berry Keto,"Berries, fresas, leche de coco, coconut flakes, Stevia, maca",Smoothies 游볷,$105.00,,19,19
Dark Coconut,"Pl치tano, coconut flakes, leche de coco, cacao nibs, vainilla y carb칩n activado",Smoothies 游볷,$80.00,,20,20
Detox,"Berries, pl치tanos, espinaca, fresas, avena, linaza, leche de almendras, prote칤na, vegana y vainilla",Smoothies 游볷,$100.00,,21,21
Wake Me Up,"Pl치tano, maca, crema de almendras, leche de almendras, vainilla y proteina vegana ",Smoothies 游볷,$85.00,,22,22
Tizana,"Infusi칩n de frutos rojos, leche de coco, miel de agave y vanilla",Refreshers 游꼲,$55.00,,23,23
CARAMEL LATTE,,Refreshers 游꼲,$50.00,,24,24
Dark Lemonade,"Lim칩n fresco, ch칤a, carb칩n activado y Stevia",Refreshers 游꼲,$40.00,,25,25
Golden Bowl,"Pl치tano, mango, pi침a, jengibre, c칰rcuma, prote칤na vegana, granola, crema de almendras, coconut flakes y hemp",Bowls 游볶,$125.00,https://drive.google.com/file/d/1iIGVxbU_8AkUqiYNir_uJotqksJB9lS7/view?usp=sharing,26,26
Acai Bowl,"Acai org치nico, berries, prote칤na veana, granola, crema de almendras y coconut flakes",Bowls 游볶,$125.00,https://drive.google.com/file/d/1qOV9OjpFRrK2CShXXOeXH1DnZ7PED_7c/view?usp=sharing,27,27
Cacao Bowl,"Pl치tano, fresas, prote칤na vegana, cacao, granola, crema de almendras, coconut flakes, hemp y cacao nibs",Bowls 游볶,$125.00,,28,28
Run a mile bowl,"Pl치tano, cacao en polvo, cacao nibs, leche de coco, prote칤na vegana, granola, vainilla, coconut flakes, crema de avellanas y crema de cacahuate",Bowls 游볶,$125.00,,29,29
Dragon fruit bowl,"Pl치tano, fresa, pi침a, leche de coco, pitaya, ch칤a, coconut flakes, miel de abeja, hemp y nuez de castilla",Bowls 游볶,$125.00,https://drive.google.com/file/d/1uIYBnfNs-upQIrJEl_O-aZ4NuUCyeV52/view?usp=sharing,30,30
Salmon MX,"Pan de centeno, salm칩n, queso de cabra, aguacate, germinado de alfafa, dukkah de pistache y crinotte de lim칩n real",Toast 游볽,$100.00,https://drive.google.com/file/d/1li-aPnuPGXo9hApnnxsrch8kQ-I3QKzo/view?usp=sharing,31,31
Avocado Toast,"Pan de centeno, aguacate, germinado de alfalfa, tomate cherry, aceite de oliva, hojuelas de sal rosa y pimienta",Toast 游볽,$70.00,https://drive.google.com/file/d/1DJ9p1GMl_du6-hOZhEnmFiMm685Q-_bz/view?usp=sharing,32,32
Sweet Toast,"Pan de centeno, creama de almendras, pl치tano, fresa, hemp, granola y coconut flakes",Toast 游볽,$70.00,https://drive.google.com/file/d/1WY3JjL31SU_ONh2PU0yhYtkoFYWb9rmH/view?usp=sharing,33,33
Honey & Goat Toast,"Pan de centeno, queso de cabra, fresas, miel de abeja y hemp",Toast 游볽,$70.00,https://drive.google.com/file/d/1VzVkU6EhIwj_9SREWe1mlOYU_IKQU9SB/view?usp=sharing,34,34
Panini Verde M칤o,"Pan multigrano, pesto, pechuga de pavo natural, papino, germinado de alfalfa, aguacate y queso de cabra",Comida 游볭,$78.00,https://drive.google.com/file/d/1wsfL59V3T29ECfp0FRL1_4OETbwZNqX1/view?usp=sharing,35,35
S츼NDWICH Verde m칤o,"Pan multigrano, pesto, pechuga de pavo natural, pepino, germinado de alfalfa, aguacate y queso de cabra",Comida 游볭,$65.00,,36,36
Ensalada Kaliroi,"Mix de lechugas, pimiento morr칩n, tomate cherry, queso feta, kalamata, pepino y vinagreta de la casa",Comida 游볭,$70.00,,37,37
Ensalada Marietta,"Mix de lechugas, j칤cama, zanahoria, betabel, tomate Cherry, queso parmesano y vinagreta de la casa",Comida 游볭,$70.00,,38,38
Ensalada Mila,"Mix de lechugas, fresa, nuez de castilla, hemp, queso de cabra y vinagreta",Comida 游볭,$70.00,,39,39
Chilli Bowl,"Zanahoria, j칤cama, betabel, chamoy de Jamaica y
tamarindo sin az칰car, cacahuate, churritos de
amaranto, lim칩n y sal de himalaya
",Snacks,$65.00,,40,40
Chilli Chips,"J칤cama, zanahoria, betabel, chips de j칤cama, chips
de betabel, cacahuate, chamoy de jamaica y
tamarindo sin az칰car",Snacks,$70.00,,41,41